ТОВАРЫ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148 3111/15;EKIS Стол письменный 160х100;;160x100xh73,5;ДУБ СВЕТЛЫЙ;0;688;0;0;0; ;0;0;DS17;ЗАГ00061;;;;6;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3112/15;EKIS Стол письменный 200х100;;200x100xh73,5;ДУБ СВЕТЛЫЙ;0;742;0;0;0; ;0;0;DS17;ЗАГ00062;;;;6;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3151/15;EKIS Стол на опор.тумбе186х100;;186x100xh73,5;ДУБ СВЕТЛЫЙ;0;1 230;0;0;0; ;0;0;DS17;ЗАГ00063;;;;6;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3152/15;EKIS Стол на опор.тумбе226х100;;226х100xh73,5;ДУБ СВЕТЛЫЙ;0;1 282;0;0;0; ;0;0;DS17;ЗАГ00064;;;;5;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3550/15;EKIS Стол на оп.тумбе с прист.;;186x200xh73,5;ДУБ СВЕТЛЫЙ;0;1 614;0;0;0; ;0;0;DS17;ЗАГ00065;;;;8;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3551/15;EKIS Стол на оп.тумбе с прист.;;226x200xh73,5;ДУБ СВЕТЛЫЙ;0;1 666;0;0;0; ;0;0;DS17;ЗАГ00066;;;;5;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3510/15;EKIS Стол c приставкой 160х200;;160x200xh73,5;ДУБ СВЕТЛЫЙ;0;1 122;0;0;0; ;0;0;DS17;ЗАГ00068;;;;6;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3517/15;EKIS Стол c приставкой 200х200;;200х200xh73,5;ДУБ СВЕТЛЫЙ;0;1 176;0;0;0; ;0;0;DS17;ЗАГ00069;;;;6;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DESKII 3+2Cat5e;DESKII 3+2CAT5E+1,5 кабель;Электрификация Desk;24смх9см;СЕРЫЙ;0;170;0;0;0; ;0;0;DS17;ЗАГ00071;;;;42;Целое;ЭЛЕКТРИФ;;; ;Нет;Нет;Нет; ; ; ;;;Bachmann; ;0;0;
DADO 4 doors DARK OAK, carcass GREY;DADO Шкаф 4 дер.двери, к-с сер;Шкаф 4 двери Тао/Ekis/Sigma;100x44xh122;ДУБ ТЕМНЫЙ;0;770;0;0;0; ;76,32;0,194;DS17;ЗАГ00090;;;;15;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO 4 doors LIGHT OAK, carcass WHITE;DADO Шкаф 4 дер.двери, к-с бел;Шкаф 4 двери Тао/Ekis/Sigma;100x44xh122;ДУБ СВЕТЛЫЙ;0;770;0;0;0; ;76,32;0,194;DS17;ЗАГ00091;;;;12;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO 4 glass doors,top DARK OAK;DADO Шкаф 4 стекл.двери;Шкаф 4 стеклянные двери Тао/Ekis/Sigma;100x44xh122;СТЕКЛО БЕЛ/ДУБ ТЕМН;0;1 326;0;0;0; ;75,74;0,194;DS17;ЗАГ00092;;;;8;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO 4 glass doors,top LIGHT OAK;DADO Шкаф 4 стекл.двери;Шкаф 4 стеклянные двери Тао/Ekis/Sigma;100x44xh122;СТЕКЛО БЕЛ/ДУБ СВЕТ;0;1 326;0;0;0; ;75,74;0,194;DS17;ЗАГ00093;;;;8;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO 2 doors DARK OAK, carcass GREY;DADO Греденция L100,2дер.двери;Греденция Тао/Ekis/Sigma;100x44xh72;ДУБ ТЕМНЫЙ;0;521;0;0;0; ;37,28;0,1081;DS17;ЗАГ00094;;;;4;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO 2 doors LIGHT OAK, carcass WHITE;DADO Греденция L100,2дер.двери;Греденция Тао/Ekis/Sigma;100x44xh72;ДУБ СВЕТЛЫЙ;0;521;0;0;0; ;37,28;0,1081;DS17;ЗАГ00095;;;;12;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
